condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc1_swap,True,11,-120.1875,-220.125,99.9375,262129,262139,,,,,
sc1_swap,True,12,-156.5,-258.5,102.0,262128,262138,,,,,
sc1_swap,True,13,-155.625,-255.625,100.0,262128,262137,,,,,
sc1_swap,True,14,-156.125,-249.75,93.625,262129,262137,,,,,
sc1_swap,True,15,-134.375,-181.5,47.125,262130,262137,,,,,
sc1_swap,True,16,-126.75,-159.125,32.375,262130,262137,,,,,
sc1_swap,True,17,-113.125,-113.4375,0.3125,262133,262134,,,,,
sc1_swap,True,18,-111.8125,-113.375,1.5625,262133,262134,,,,,
sc1_swap,True,19,-109.0,-114.5625,5.5625,262133,262136,,,,,
sc1_swap,True,20,-96.0625,-97.5625,1.5,262133,262134,,,,,
sc1_swap,True,21,-92.1875,-96.4375,4.25,262131,262135,,,,,
sc1_swap,True,22,-94.375,-97.375,3.0,262133,262136,,,,,
sc1_swap,True,23,-91.9375,-98.6875,6.75,262134,262135,,,,,
sc1_swap,True,24,-94.5625,-109.625,15.0625,262133,262137,,,,,
sc1_swap,True,25,-91.75,-113.75,22.0,262133,262136,,,,,
sc1_swap,True,26,-86.875,-108.8125,21.9375,262134,262138,,,,,
sc1_swap,True,27,-66.875,-82.0625,15.1875,262133,262137,,,,,
sc1_swap,True,28,-82.5,-94.375,11.875,262135,262139,,,,,
sc1_swap,True,29,-53.09375,-35.59375,-17.5,261980,252226,,,,,
sc1_swap,True,30,-45.21875,-23.75,-21.46875,259987,143081,,,,,
sc1_swap,True,31,-30.125,6.9921875,-37.1171875,198346,380,,,,,
sc1_swap,True,32,-21.765625,27.09375,-48.859375,89626,34,,,,,
sc1_swap,True,33,-14.5390625,27.0,-41.5390625,27569,36,,,,,
sc1_swap,True,34,-15.78125,22.203125,-37.984375,34377,58,,,,,
sc1_swap,True,35,-9.328125,22.15625,-31.484375,9024,51,,,,,
sc1_swap,True,36,-8.0078125,20.375,-28.3828125,10624,62,,,,,
sc1_swap,True,37,-11.59375,11.0078125,-22.6015625,29901,167,,,,,
sc1_swap,True,38,-19.0625,-9.3203125,-9.7421875,154392,36044,,,,,
sc1_swap,True,39,-11.546875,-19.328125,7.78125,162804,235583,,,,,
sc1_swap,True,40,-1.1220703125,-15.890625,14.7685546875,61954,233300,,,,,
sc1_swap,True,41,7.8046875,16.890625,-9.0859375,2300,148,,,,,
sc1_swap,True,42,0.99169921875,15.6484375,-14.65673828125,10872,77,,,,,
sc1_swap,True,43,-6.78515625,-0.3193359375,-6.4658203125,79679,15312,,,,,
sc1_swap,True,44,-7.7265625,3.25,-10.9765625,105196,4839,,,,,
sc1_swap,True,45,-8.875,6.28125,-15.15625,133228,1647,,,,,
sc1_swap,True,46,-5.69921875,6.3515625,-12.05078125,86475,2026,,,,,
sc1_swap,True,47,-2.61328125,-1.724609375,-0.888671875,48117,38522,,,,,
sc1_swap,True,48,-2.37890625,4.90625,-7.28515625,39510,3388,,,,,
sc1_swap,True,49,2.328125,12.5078125,-10.1796875,8627,85,,,,,
sc1_swap,True,50,3.958984375,12.0859375,-8.126953125,4033,106,,,,,
sc1_swap,True,51,12.5703125,14.109375,-1.5390625,209,115,,,,,
sc1_swap,True,52,9.2109375,10.0625,-0.8515625,3508,2614,,,,,
sc1_swap,True,53,15.6484375,-6.28125,21.9296875,98,111852,,,,,
sc1_swap,True,54,9.1875,-30.140625,39.328125,2006,262134,,,,,
sc1_swap,True,55,-5.1875,-40.875,35.6875,165766,262142,,,,,
sc1_swap,True,56,-20.1875,-126.0,105.8125,261906,262143,,,,,
sc1_swap,True,57,-32.5625,-209.875,177.3125,262137,262143,,,,,
sc1_swap,True,58,13.078125,-28.109375,41.1875,12317,262132,,,,,
sc1_swap,True,59,20.078125,57.21875,-37.140625,1,0,,,,,
sc5_orig,False,0,-271.25,-220.875,-50.375,262133,262128,,,,,
sc5_orig,False,1,-612.5,-1023.0,410.5,262131,262138,,,,,
sc5_orig,False,2,-590.5,-993.0,402.5,262131,262138,,,,,
sc5_orig,False,3,-527.5,-995.5,468.0,262131,262139,,,,,
sc5_orig,False,4,-518.0,-981.0,463.0,262131,262139,,,,,
sc5_orig,False,5,-374.0,-785.5,411.5,262133,262141,,,,,
sc5_orig,False,6,-280.5,-581.5,301.0,262132,262141,,,,,
sc5_orig,False,7,-208.75,-404.75,196.0,262131,262140,,,,,
